step,Q(t)
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,0.9127361
402,0.84560037
403,0.79181415
404,0.74763006
405,0.7104782
406,0.67874676
407,0.65114355
408,0.62680805
409,0.60516393
410,0.5859418
411,0.56867576
412,0.5529119
413,0.53851104
414,0.5253621
415,0.5131695
416,0.5019243
417,0.4915429
418,0.4817904
419,0.4727389
420,0.4642422
421,0.4563196
422,0.44873202
423,0.44167653
424,0.434928
425,0.42856467
426,0.42259595
427,0.41693687
428,0.41152495
429,0.40637958
430,0.4014197
431,0.3967344
432,0.39225438
433,0.3879543
434,0.3838443
435,0.3798406
436,0.3760457
437,0.37240198
438,0.3688826
439,0.36552003
440,0.36221573
441,0.3590596
442,0.35596243
443,0.35302472
444,0.35018313
445,0.34742358
446,0.34472314
447,0.34214917
448,0.33967182
449,0.33727768
450,0.33490407
451,0.33263728
452,0.33045182
453,0.32831588
454,0.3262535
455,0.32427067
456,0.32233617
457,0.32040983
458,0.31851172
459,0.31670663
460,0.3149034
461,0.31317952
462,0.3115236
463,0.30987537
464,0.30831262
465,0.3067799
466,0.30529585
467,0.30377698
468,0.30233315
469,0.300895
470,0.2994966
471,0.29810542
472,0.29678228
473,0.2955241
474,0.29425603
475,0.29300696
476,0.2917925
477,0.2906135
478,0.28944898
479,0.2882974
480,0.2871974
481,0.2861122
482,0.28506425
483,0.28403282
484,0.2829966
485,0.2819867
486,0.2810017
487,0.28002712
488,0.2790798
489,0.27815068
490,0.27722207
491,0.27633798
492,0.27544257
493,0.27459985
494,0.27376223
495,0.2729289
496,0.2721285
497,0.2713242
498,0.27055308
499,0.2697513
500,0.26898423
501,0.26824757
502,0.26751345
503,0.26678938
504,0.26607582
505,0.26537046
506,0.26468402
507,0.26400703
508,0.263338
509,0.262673
510,0.26201335
511,0.26138884
512,0.2607745
513,0.2601646
514,0.25958356
515,0.2589999
516,0.25839788
517,0.25782204
518,0.2572617
519,0.25668606
520,0.256127
521,0.2555881
522,0.25505581
523,0.25453523
524,0.25400516
525,0.25349966
526,0.2529951
527,0.25250104
528,0.25199696
529,0.25150356
530,0.25102502
531,0.25057125
532,0.25006753
533,0.24961829
534,0.24917027
535,0.24871859
536,0.24828984
537,0.24782826
538,0.24739808
539,0.24698654
540,0.24656303
541,0.24614362
542,0.24572824
543,0.24532658
544,0.2449567
545,0.2445697
546,0.24417529
547,0.24379079
548,0.24339575
549,0.24302031
550,0.24265663
551,0.24228974
552,0.24193783
553,0.24157718
554,0.2412321
555,0.2408862
556,0.24053398
557,0.2402078
558,0.23987016
559,0.23953936
560,0.23921137
561,0.2388817
562,0.23856945
563,0.23824847
564,0.23794475
565,0.23764229
566,0.23734131
567,0.2370492
568,0.23675159
569,0.23646747
570,0.23617224
571,0.23588294
572,0.2356045
573,0.23529653
574,0.2350171
575,0.23474526
576,0.2344839
577,0.2342177
578,0.23394804
579,0.23368178
580,0.233431
581,0.2331717
582,0.23292503
583,0.23268496
584,0.23243234
585,0.23217489
586,0.2319289
587,0.23169114
588,0.23146434
589,0.23122309
590,0.23100509
591,0.23078749
592,0.23056638
593,0.2303272
594,0.23009045
595,0.22987188
596,0.2296655
597,0.22946373
598,0.22926782
599,0.22905305
600,0.2288483
601,0.22984713
602,0.23084813
603,0.23185128
604,0.23285657
605,0.233864
606,0.23487353
607,0.23588519
608,0.23689896
609,0.23791482
610,0.23893274
611,0.23995277
612,0.24097486
613,0.24199899
614,0.24302518
615,0.24405341
616,0.24508366
617,0.24611592
618,0.2471502
619,0.24818647
620,0.24922474
621,0.25026497
622,0.25130716
623,0.2523513
624,0.25339743
625,0.25444546
626,0.25549543
627,0.2565473
628,0.25760108
629,0.25865674
630,0.2597143
631,0.26077372
632,0.26183498
633,0.26289812
634,0.26396307
635,0.26502985
636,0.26609847
637,0.26716885
638,0.26824105
639,0.269315
640,0.27039075
641,0.27146825
642,0.27254748
643,0.27362844
644,0.27471113
645,0.27579552
646,0.27688164
647,0.2779694
648,0.27905884
649,0.28014994
650,0.2812427
651,0.2823371
652,0.2834331
653,0.28453073
654,0.28562993
655,0.28673074
656,0.2878331
657,0.28893703
658,0.29004252
659,0.29114953
660,0.29225805
661,0.2933681
662,0.29447964
663,0.29559264
664,0.29670712
665,0.29782307
666,0.29894045
667,0.30005926
668,0.30117947
669,0.3023011
670,0.30342412
671,0.3045485
672,0.30567425
673,0.30680135
674,0.30792978
675,0.30905953
676,0.3101906
677,0.31132296
678,0.31245658
679,0.31359148
680,0.3147276
681,0.315865
682,0.3170036
683,0.31814343
684,0.31928444
685,0.3204266
686,0.32156998
687,0.32271448
688,0.3238601
689,0.3250069
690,0.32615477
691,0.32730374
692,0.32845378
693,0.3296049
694,0.33075708
695,0.33191028
696,0.3330645
697,0.33421975
698,0.33537596
699,0.3365332
700,0.33769134
701,0.33885047
702,0.34001052
703,0.34117147
704,0.34233335
705,0.3434961
706,0.34465975
707,0.34582424
708,0.3469896
709,0.34815577
710,0.34932274
711,0.35049054
712,0.3516591
713,0.35282844
714,0.35399854
715,0.35516936
716,0.35634091
717,0.3575132
718,0.35868615
719,0.35985976
720,0.36103407
721,0.36220902
722,0.3633846
723,0.36456078
724,0.3657376
725,0.366915
726,0.36809295
727,0.36927146
728,0.37045053
729,0.3716301
730,0.37281018
731,0.37399077
732,0.37517184
733,0.37635338
734,0.37753534
735,0.37871778
736,0.3799006
737,0.38108385
738,0.38226748
739,0.38345146
740,0.3846358
741,0.3858205
742,0.38700554
743,0.38819087
744,0.3893765
745,0.39056242
746,0.39174858
747,0.392935
748,0.39412165
749,0.39530852
750,0.3964956
751,0.39768288
752,0.39887032
753,0.4000579
754,0.40124565
755,0.4024335
756,0.4036215
757,0.4048096
758,0.40599775
759,0.40718597
760,0.40837425
761,0.40956256
762,0.41075087
763,0.4119392
764,0.41312754
765,0.41431585
766,0.4155041
767,0.41669232
768,0.41788045
769,0.4190685
770,0.42025644
771,0.42144427
772,0.42263198
773,0.42381954
774,0.42500696
775,0.42619416
776,0.4273812
777,0.42856804
778,0.42975464
779,0.43094102
780,0.43212715
781,0.433313
782,0.4344986
783,0.4356839
784,0.43686888
785,0.43805355
786,0.43923786
787,0.44042185
788,0.44160545
789,0.4427887
790,0.4439715
791,0.44515395
792,0.44633597
793,0.4475175
794,0.44869864
795,0.4498793
796,0.45105946
797,0.45223913
798,0.4534183
799,0.45459694
800,0.45577505
801,0.4569526
802,0.4581296
803,0.45930603
804,0.46048185
805,0.46165708
806,0.46283168
807,0.46400562
808,0.46517897
809,0.46635163
810,0.4675236
811,0.4686949
812,0.4698655
813,0.4710354
814,0.47220454
815,0.47337297
816,0.47454062
817,0.47570753
818,0.47687364
819,0.47803897
820,0.4792035
821,0.48036718
822,0.48153004
823,0.48269206
824,0.48385325
825,0.48501354
826,0.48617294
827,0.48733148
828,0.4884891
829,0.48964578
830,0.4908015
831,0.49195632
832,0.49311018
833,0.49426308
834,0.49541497
835,0.4965659
836,0.4977158
837,0.49886468
838,0.5000125
839,0.50115937
840,0.5023051
841,0.5034498
842,0.50459343
843,0.505736
844,0.5068774
845,0.5080177
846,0.50915694
847,0.510295
848,0.51143193
849,0.51256764
850,0.5137023
851,0.51483566
852,0.5159679
853,0.51709896
854,0.51822877
855,0.5193573
856,0.5204847
857,0.5216108
858,0.52273566
859,0.52385926
860,0.5249816
861,0.52610266
862,0.5272224
863,0.5283408
864,0.5294579
865,0.5305737
866,0.5316882
867,0.53280133
868,0.5339131
869,0.53502345
870,0.53613245
871,0.5372401
872,0.53834635
873,0.5394512
874,0.5405546
875,0.5416566
876,0.54275715
877,0.5438563
878,0.544954
879,0.5460502
880,0.54714495
881,0.5482382
882,0.54933
883,0.5504203
884,0.5515091
885,0.55259633
886,0.5536821
887,0.55476636
888,0.555849
889,0.5569302
890,0.55800974
891,0.5590878
892,0.5601643
893,0.5612391
894,0.5623124
895,0.5633841
896,0.5644542
897,0.56552273
898,0.5665896
899,0.56765485
900,0.5687185
901,0.56978047
902,0.5708408
903,0.5718995
904,0.5729565
905,0.57401186
906,0.5750655
907,0.5761175
908,0.5771678
909,0.57821643
910,0.5792633
911,0.58030856
912,0.58135206
913,0.5823938
914,0.58343387
915,0.5844721
916,0.5855087
917,0.5865435
918,0.58757657
919,0.5886079
920,0.58963746
921,0.5906652
922,0.5916912
923,0.5927154
924,0.59373784
925,0.59475845
926,0.5957773
927,0.5967943
928,0.59780955
929,0.59882295
930,0.5998345
931,0.60084426
932,0.60185224
933,0.6028583
934,0.6038626
935,0.60486495
936,0.60586554
937,0.6068642
938,0.6078611
939,0.6088561
940,0.60984915
941,0.6108404
942,0.61182976
943,0.6128172
944,0.61380285
945,0.61478657
946,0.6157684
947,0.6167483
948,0.6177263
949,0.6187024
950,0.6196766
951,0.6206489
952,0.6216193
953,0.62258774
954,0.6235542
955,0.6245189
956,0.62548155
957,0.62644225
958,0.62740105
959,0.62835795
960,0.6293129
961,0.63026583
962,0.6312168
963,0.6321659
964,0.633113
965,0.6340582
966,0.63500136
967,0.63594264
968,0.6368819
969,0.6378192
970,0.63875455
971,0.6396879
972,0.6406193
973,0.6415487
974,0.6424761
975,0.64340156
976,0.644325
977,0.6452465
978,0.64616597
979,0.64708346
980,0.647999
981,0.6489125
982,0.649824
983,0.65073353
984,0.6516411
985,0.6525466
986,0.65345013
987,0.65435165
988,0.65525115
989,0.6561487
990,0.6570442
991,0.65793765
992,0.65882915
993,0.65971863
994,0.66060615
995,0.6614916
996,0.66237503
997,0.66325647
998,0.6641359
999,0.66501325
